Thermosteric sea level data from Domingues et al (2008)
In millimetres - see aa_readme_tsl.txt
-----------------------------------------------------------------------
 Year  | TSL(0-100m)  error | TSL(0-300m)  error | TSL(0-700m)  error |
-------|--------------------|--------------------|--------------------|
1950.5 |    -3.9       9.7  |    -7.2      10.8  |    -8.4      10.8  |
1951.5 |     0.1       9.3  |     1.5      10.1  |     2.6      10.1  |
1952.5 |    -0.4       9.6  |    -3.2      10.5  |    -5.7      10.5  |
1953.5 |    -2.0      10.5  |    -3.9      11.5  |    -5.6      11.5  |
1954.5 |    -1.3       9.6  |     2.6      10.5  |     2.2      10.5  |
1955.5 |    -2.8       9.6  |    -1.7      10.6  |    -0.9      10.6  |
1956.5 |    -3.3       9.3  |    -2.9      10.3  |     1.4      10.3  |
1957.5 |    -0.4       7.3  |    -2.7       8.1  |    -0.9       8.1  |
1958.5 |     3.8       6.4  |     5.6       7.0  |    13.4       7.0  |
1959.5 |     2.4       7.2  |     1.1       7.9  |     0.5       7.9  |
1960.5 |     0.1       6.5  |     0.2       7.1  |     1.3       7.1  |
1961.5 |     0.0       6.5  |     0.0       7.0  |     0.0       7.0  |
1962.5 |    -0.6       6.3  |     0.8       6.8  |     4.5       6.8  |
1963.5 |     0.7       5.4  |    -1.8       5.7  |     0.7       5.7  |
1964.5 |    -5.3       5.0  |    -5.3       5.4  |    -2.6       5.4  |
1965.5 |    -4.0       4.6  |    -7.6       5.0  |    -3.9       5.0  |
1966.5 |    -3.6       4.9  |    -2.0       5.6  |     3.8       5.6  |
1967.5 |    -5.1       4.5  |    -2.5       5.0  |     2.2       5.0  |
1968.5 |    -4.8       3.7  |    -7.3       4.0  |    -4.5       4.0  |
1969.5 |    -2.2       3.6  |    -6.4       3.9  |    -4.5       3.9  |
1970.5 |    -2.6       3.1  |    -5.7       3.3  |    -3.9       3.3  |
1971.5 |    -5.4       2.7  |    -4.4       2.9  |     1.2       2.9  |
1972.5 |    -2.8       2.8  |    -4.8       2.9  |    -1.4       2.9  |
1973.5 |    -0.1       2.8  |    -3.8       3.0  |     0.1       3.0  |
1974.5 |    -3.8       3.0  |    -3.6       3.2  |    -1.1       3.2  |
1975.5 |    -3.8       3.2  |    -3.7       3.3  |    -0.6       3.3  |
1976.5 |    -2.7       3.0  |    -2.2       3.2  |    -2.6       3.2  |
1977.5 |     1.6       3.2  |     1.6       3.4  |     3.6       3.4  |
1978.5 |     1.5       3.2  |     0.8       3.4  |    -0.0       3.4  |
1979.5 |     2.2       2.6  |     0.2       2.7  |    -0.5       2.7  |
1980.5 |     4.8       2.5  |     4.1       2.6  |     9.1       2.6  |
1981.5 |     1.7       2.7  |    -0.9       2.8  |     3.3       2.8  |
1982.5 |     2.1       2.4  |    -1.1       2.6  |     2.5       2.6  |
1983.5 |     5.7       2.3  |     0.3       2.4  |     3.0       2.4  |
1984.5 |     1.0       2.5  |     1.1       2.6  |     3.3       2.6  |
1985.5 |    -1.3       2.3  |    -0.3       2.4  |     1.9       2.4  |
1986.5 |     1.9       2.2  |     2.9       2.3  |     6.2       2.3  |
1987.5 |     8.0       2.1  |     4.9       2.2  |     7.3       2.2  |
1988.5 |     3.7       2.3  |     7.4       2.4  |     9.5       2.4  |
1989.5 |     2.9       2.4  |     9.4       2.5  |    12.0       2.5  |
1990.5 |     7.2       2.2  |     9.0       2.3  |     9.4       2.3  |
1991.5 |     6.3       2.1  |     7.3       2.1  |    11.4       2.1  |
1992.5 |     6.6       2.0  |     3.5       2.1  |     6.6       2.1  |
1993.5 |     5.7       1.7  |     4.0       1.8  |     8.4       1.8  |
1994.5 |     4.8       1.7  |     5.7       1.8  |    10.3       1.8  |
1995.5 |     6.9       1.7  |     7.3       1.7  |    10.7       1.7  |
1996.5 |     5.6       1.9  |     9.2       1.9  |    14.0       1.9  |
1997.5 |     9.5       1.8  |    10.3       1.9  |    13.4       1.9  |
1998.5 |    11.7       1.9  |     6.9       1.9  |     9.1       1.9  |
1999.5 |     4.9       2.1  |     7.8       2.1  |     9.7       2.1  |
2000.5 |     6.3       2.4  |     9.9       2.5  |    12.6       2.5  |
2001.5 |     8.0       2.4  |    12.5       2.4  |    15.3       2.4  |
2002.5 |     9.8       2.2  |    15.0       2.2  |    19.4       2.2  |
2003.5 |     9.7       1.7  |    12.6       1.7  |    17.2       1.7  |
