Ilulissat monthly temperatures infilled with regressed values based on 
observations from 4 sites (Aasiaat, Qeqertarsuaq, Upernavik and Uummannaq) 
situated along the west coast of Greenland.


Vinther, B. M., K. K. Andersen, P. D. Jones, K. R. Briffa and J. Cappelen,
Extending Greenland Temperature Records into the late 18th Century,
doi:10.1029/2005JD006810, JGR, 111, D11105.


All temperatures are given in degrees Celsius times 10.


Year    Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
1807    NaN     NaN     NaN     NaN     NaN     NaN     NaN     54      40      -24     -61     -94
1808    -237    -152    -121    -65     -18     46      77      NaN     NaN     NaN     -103    -87
1809    -107    -186    -95     -34     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1810    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     -34     -47     -65     -126
1811    -202    -251    NaN     NaN     NaN     NaN     NaN     51      -21     -45     -145    -154
1812    -160    NaN     NaN     -63     -15     27      83      NaN     NaN     -45     -81     -79
1813    -209    -159    -295    -131    -58     66      86      59      22      -20     -103    -122
1814    -108    -214    -230    -89     13      31      86      NaN     NaN     NaN     -89     -86
1815    -143    -227    -295    -143    -21     32      NaN     NaN     NaN     NaN     NaN     NaN
1816    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1817    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1818    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1819    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1820    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1821    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1822    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1823    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     -36     -85     -211
1824    -160    -193    -151    -48     21      66      89      NaN     NaN     NaN     NaN     NaN
1825    NaN     NaN     NaN     NaN     NaN     NaN     62      NaN     NaN     -62     -139    -179
1826    -183    NaN     -195    -222    -23     4       NaN     NaN     13      -50     -63     -118
1827    -185    -71     -188    -94     -15     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1828    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1829    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     -38     -55     -108
1830    -70     -154    -175    -67     NaN     NaN     NaN     NaN     34      -48     -110    -127
1831    -122    -149    -146    -44     25      NaN     NaN     NaN     NaN     -80     -102    -96
1832    -186    -249    -280    -97     NaN     NaN     NaN     NaN     NaN     -78     -140    -246
1833    -209    -204    -116    -65     NaN     NaN     NaN     70      16      -69     -137    -222
1834    -176    -239    -158    -72     -15     -34     70      NaN     -51     -48     -78     -168
1835    -266    -243    -203    -89     4       29      NaN     NaN     NaN     -67     -21     -87
1836    -170    -208    -182    -138    -3      23      49      NaN     16      -87     -156    -166
1837    -212    -290    -119    -102    11      NaN     NaN     54      14      -75     -186    -206
1838    -213    -146    -204    -89     21      NaN     NaN     NaN     NaN     -66     -78     -138
1839    -201    -257    -170    -98     NaN     NaN     NaN     NaN     NaN     -63     -109    -123
1840    -170    -207    -52     -95     17      39      67      44      10      -44     -119    -129
1841    -137    -110    -152    -80     -8      25      59      48      12      -41     -120    -161
1842    -157    -233    -177    -95     11      38      68      45      13      -16     -120    -150
1843    -179    -126    -96     -60     9       57      62      50      16      -19     -138    -187
1844    -226    -194    -182    -161    -47     57      75      53      9       -25     -118    -118
1845    -180    -224    -124    -50     0       38      98      66      17      -60     -93     -149
1846    -181    -157    -143    -53     9       26      61      59      22      -64     -85     -68
1847    -62     -77     -26     -28     27      52      57      45      13      -14     -136    -183
1848    -170    -180    -147    -55     28      67      92      65      27      -6      -68     -180
1849    -222    -221    -171    -44     20      58      64      60      28      -49     -113    -69
1850    -140    -228    -153    -80     29      63      78      61      32      -26     -99     -131
1851    -114    -189    -99     -55     0       49      NaN     NaN     11      -32     -70     -145
1852    NaN     NaN     NaN     NaN     NaN     62      81      NaN     22      -24     -78     -112
1853    -206    -57     -165    -46     7       53      76      NaN     0       -59     -132    -135
1854    -124    -212    -187    -124    -10     49      84      NaN     NaN     NaN     NaN     NaN
1855    -164    -137    -175    -163    -49     20      73      56      0       -49     -78     -69
1856    -110    -87     -76     -73     1       33      85      48      22      -32     -41     -102
1857    -143    -199    -148    -92     -7      78      83      69      18      -49     -84     -149
1858    -214    -193    -108    -123    -24     69      81      65      0       -50     -67     -125
1859    -237    -245    -214    -88     40      42      68      53      22      -40     -83     -90
1860    -149    -107    -161    -87     26      63      81      58      16      -68     -58     -93
1861    -174    -182    -233    -154    -8      38      62      60      9       -62     -102    -112
1862    -197    -115    -191    -181    -12     34      71      65      10      -71     -111    -174
1863    -212    -310    -210    -136    -6      30      50      37      6       -77     -108    -240
1864    -213    -174    -133    -134    9       46      46      61      28      -14     -72     -89
1865    -189    -149    -108    -129    -3      15      78      31      -10     -15     -101    -143
1866    -228    -197    -142    -86     -1      34      69      44      2       -67     -115    -177
1867    -107    -213    -148    -86     7       43      91      69      21      -49     -54     -92
1868    -149    -301    -216    -85     -13     23      50      56      28      -68     -91     -126
1869    -194    -205    -109    -113    13      37      64      48      14      -10     -111    -133
1870    -144    -157    -206    -143    -23     38      66      73      -9      -43     -27     -53
1871    -168    -125    -231    -71     7       69      74      57      17      -28     -44     -67
