Qaqortoq monthly temperatures infilled with regressed values based on 
observations from 4 sites (Ivittuut, Nanortalik, Narsarsuaq and Paamiut) 
situated along the south coast of Greenland.


Vinther, B. M., K. K. Andersen, P. D. Jones, K. R. Briffa and J. Cappelen,
Extending Greenland Temperature Records into the late 18th Century,
doi:10.1029/2005JD006810, JGR, 111, D11105.


All temperatures are given in degrees Celsius times 10.


Year    Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
1807    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     -7      -12
1808    -89     -50     -46     NaN     NaN     NaN     NaN     NaN     NaN     NaN     -23     -32
1809    -15     -33     -56     -8      15      25      56      54      36      -8      -15     -80
1810    -82     -83     -28     -28     18      25      56      38      16      -5      -48     -44
1811    -115    -106    -130    -40     3       26      41      43      23      NaN     -73     -60
1812    -50     -98     -42     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1813    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1814    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1815    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1816    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1817    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1818    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1819    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1820    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1821    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1822    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1823    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1824    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1825    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1826    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1827    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1828    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     0       -27     -76
1829    -52     -37     12      24      NaN     NaN     NaN     NaN     NaN     NaN     -23     -71
1830    -24     -49     -91     -12     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1831    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1832    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
