Merged Greenland monthly temperatures based on infilled temperature series 
from Ilulissat, Nuuk and Qaqortoq situated along the south and west coasts 
of Greenland.


Vinther, B. M., K. K. Andersen, P. D. Jones, K. R. Briffa and J. Cappelen,
Extending Greenland Temperature Records into the late 18th Century,
doi:10.1029/2005JD006810, JGR, 111, D11105.


All temperatures are given in degrees Celsius times 10.


Year    Jan     Feb     Mar     Apr     May     Jun     Jul     Aug     Sep     Oct     Nov     Dec
1784    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     4       -44     -102    -39
1785    -148    -149    -46     -65     3       37      74      83      27      -1      -73     -88
1786    -97     -91     -59     14      40      58      93      76      29      -6      37      -71
1787    -132    -130    -113    -11     26      84      NaN     NaN     NaN     NaN     NaN     NaN
1788    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     -41     -10
1789    -59     -134    -71     -27     19      69      94      64      40      -15     -18     -105
1790    -123    -125    -120    -37     8       49      78      90      27      -14     -50     -122
1791    -214    -128    -140    -2      -18     54      72      64      62      -9      -56     -92
1792    -114    -101    -109    -27     14      39      NaN     NaN     NaN     NaN     NaN     NaN
1793    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1794    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1795    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1796    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     -56     -45     -63
1797    -117    -159    -120    -94     20      47      77      71      31      -1      -34     -82
1798    -148    -123    -50     -64     9       38      64      53      13      -27     -56     -101
1799    -135    -86     -141    -58     9       33      NaN     NaN     29      -24     -83     -28
1800    -90     -126    -74     -75     26      58      64      65      14      -10     -67     -93
1801    -143    -99     -109    -79     -24     21      69      65      14      -17     -64     -67
1802    -103    -172    -166    -104    -1      NaN     NaN     NaN     NaN     NaN     NaN     NaN
1803    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1804    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1805    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1806    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     -77     -135
1807    -67     -130    -9      -42     NaN     NaN     NaN     56      48      -1      -30     -47
1808    -149    -93     -80     -29     -2      46      71      66      -28     -38     -64     -59
1809    -52     -103    -74     -29     -9      15      53      48      22      -32     -40     -123
1810    -122    -138    -84     -81     -1      23      62      32      -10     -25     -53     -79
1811    -157    -158    -200    -74     -9      19      38      40      2       -42     -117    -90
1812    -92     -156    -88     -33     13      35      68      59      3       -34     -48     -51
1813    -147    -119    -209    -72     -34     65      79      60      33      2       -67     -85
1814    -68     -142    -151    -46     24      32      79      NaN     NaN     NaN     -55     -54
1815    -94     -152    -200    -86     -4      33      NaN     NaN     NaN     NaN     NaN     NaN
1816    -128    -82     -103    -35     -8      29      60      40      20      -20     -67     -189
1817    -154    -165    -174    -66     -14     33      39      49      14      -43     -77     -118
1818    -212    -204    -171    -27     -8      31      65      54      11      -47     -98     -100
1819    -171    -115    -115    -49     -8      29      50      22      -11     9       -47     -50
1820    -68     -127    -104    -97     18      51      47      32      10      -18     -44     -77
1821    -130    -121    -90     -49     4       51      NaN     NaN     NaN     NaN     NaN     NaN
1822    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN
1823    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     -11     -52     -162
1824    -107    -127    -92     -16     30      65      82      NaN     NaN     NaN     NaN     NaN
1825    NaN     NaN     NaN     NaN     NaN     NaN     57      NaN     NaN     -32     -99     -134
1826    -124    NaN     -125    -144    -6      7       NaN     NaN     25      -22     -32     -81
1827    -126    -34     -119    -50     1       NaN     NaN     NaN     NaN     NaN     NaN     NaN
1828    NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     NaN     -23     -50     -103
1829    -84     -75     -23     -7      NaN     NaN     NaN     NaN     NaN     -12     -35     -85
1830    -43     -93     -129    -41     NaN     NaN     NaN     NaN     43      -21     -76     -79
1831    -61     -88     -95     -15     30      NaN     NaN     NaN     NaN     -47     -54     -63
1832    -125    -164    -193    -38     9       NaN     NaN     NaN     NaN     -45     -99     -193
1833    -144    -135    -65     -29     NaN     NaN     NaN     70      28      -38     -97     -172
1834    -119    -161    -97     -34     1       -29     64      NaN     -31     -21     -45     -125
1835    -187    -165    -131    -46     16      30      NaN     NaN     NaN     -36     4       -55
1836    -115    -138    -115    -82     11      25      45      NaN     28      -53     -113    -123
1837    -146    -200    -68     -56     22      NaN     NaN     56      26      -43     -140    -158
1838    -147    -91     -132    -46     30      NaN     NaN     NaN     NaN     -35     -45     -99
1839    -138    -175    -106    -53     NaN     NaN     NaN     NaN     NaN     -33     -72     -86
1840    -115    -137    -17     -50     22      45      65      50      19      -18     -87     -100
1841    -116    -74     -93     -61     8       26      54      59      26      -20     -78     -101
1842    -116    -156    -124    -41     27      42      64      51      33      10      -78     -112
1843    -126    -65     -42     -28     20      57      66      56      35      7       -107    -147
1844    -145    -125    -118    -110    -23     56      68      62      25      -9      -83     -88
1845    -115    -136    -60     -22     9       42      90      74      32      -30     -56     -106
1846    -110    -88     -80     -27     16      27      56      60      33      -34     -52     -38
1847    -34     -38     2       -2      35      52      52      47      25      1       -107    -148
1848    -124    -117    -80     -17     36      66      85      66      37      4       -18     -155
1849    -149    -150    -108    -18     29      57      59      61      38      -21     -76     -39
1850    -92     -153    -93     -40     36      62      72      62      42      -3      -64     -93
1851    -73     -124    -53     -22     13      49      NaN     NaN     24      -18     -20     -103
1852    -158    -75     -52     -32     18      59      78      67      33      -1      -45     -76
1853    -142    -23     -102    -15     23      52      70      71      6       -20     -97     -84
1854    -98     -144    -129    -67     -21     44      80      72      25      -26     -26     -102
1855    -107    -78     -96     -85     -11     33      68      59      15      -20     -46     -45
1856    -57     -32     -35     -30     23      40      78      64      39      -19     -7      -62
1857    -94     -157    -92     -43     11      68      75      73      35      -31     -64     -108
1858    -146    -112    -56     -53     -1      58      74      66      14      -22     -36     -101
1859    -159    -144    -120    -28     45      42      62      55      33      -14     -50     -57
1860    -99     -61     -99     -45     34      62      74      59      28      -37     -28     -60
1861    -118    -118    -153    -94     7       39      57      61      22      -32     -66     -76
